Código;Nombre;Área Protegida;Provincia;Cantón;Distrito;Altitud (msnm);Coordenadas;Latitud;Longitud;Proceso Geomorfólogico Principal;Caracteristica;Clasificación
PCBflu014;Catarata Las Lajas;No Aplica;Puntarenas;Coto Brus;Agua Buena;1075;"8°42'59"" N - 82°56'11"" W";8.716388889;-82.93638889;Fluvial;Natural;Baja
PCBflu015;Catarata Los Vargas;No Aplica;Puntarenas;Coto Brus;Agua Buena;990;"8°42'35"" N - 82°55'51"" W";8.709722222;-82.93083333;Fluvial;Natural;Baja
PCBflu016;Laguna Campo Dos y Medio;No Aplica;Puntarenas;Coto Brus;Agua Buena;1036;"8°42'20"" N - 82°56'00"" W";8.705555556;-82.93333333;Fluvial;Natural;Baja
PCBflu017;Humedal Laguna Metaponto;No Aplica;Puntarenas;Coto Brus;Agua Buena;1020;"8°42'22"" N - 82°56'02"" W";8.706111111;-82.93388889;Fluvial;Natural;Baja
PCBkar018;Caverna Barranquilla;No Aplica;Puntarenas;Coto Brus;Agua Buena;900;"8°42'01"" N - 82°57'34"" W";8.700277778;-82.95944444;Kárstico;Natural;Alta
PCBFLU019;Localidad Fosilífera de San Gerardo;No Aplica;Puntarenas;Coto Brus;Limoncito;700;"8°51'19,6"" N - 83°04'51,9"" W";8.855444444;-83.08108333;Fluvial;Natural;Media
PCBvol020;Cerro Pittier;Parque Internacional La Amistad;Puntarenas;Coto Brus;Pittier;2844;"9°03'39"" N - 82°56'28"" W";9.060833333;-82.94111111;Volcánico;Natural;Alta
PCBvol021;Cerro Gémelo;Parque Internacional La Amistad;Puntarenas;Coto Brus;Pittier;2702;"9°02'44"" N - 82°56'07"" W";9.045555556;-82.93527778;Volcánico;Natural;Alta
PCBflu022;Catarata Cerro Pittier;Parque Internacional La Amistad;Puntarenas;Coto Brus;Pittier;1680;"9°01'37"" N - 82°57'14"" W";9.026944444;-82.95388889;Fluvial;Natural;Alta
PCBflu023;Catarata La Perla;Parque Internacional La Amistad;Puntarenas;Coto Brus;Pittier;1300;"9°01'28"" N - 82°58'32"" W";9.024444444;-82.97555556;Fluvial;Natural;Media
PCBflu024;Catarata La Esmeralda;No Aplica;Puntarenas;Coto Brus;Pittier;620;"8°57'54"" N - 83°00'09"" W";8.965;-83.0025;Fluvial;Natural;Media
PCBflu025;Catarata Kamakiri;No Aplica;Puntarenas;Coto Brus;Pittier;820;"8°53'03"" N - 82°59'45"" W";8.884166667;-82.99583333;Fluvial;Natural;Media
PCBflu026;Aguas Termales de Aguas Calientes;No Aplica;Puntarenas;Coto Brus;Pittier;940;"8°56'49"" N - 82°55'14"" W";8.946944444;-82.92055556;Fluvial;Natural;Baja
PCBflu027;Catarata Farallón Santa Fe;No Aplica;Puntarenas;Coto Brus;Pittier;750;"8°56'08"" N - 83°00'27"" W";8.935555556;-83.0075;Fluvial;Natural;Baja
PCBflu028;Catarata Farallón Santa Fe #2;No Aplica;Puntarenas;Coto Brus;Pittier;730;"8°56'34"" N - 83°00'26"" W";8.942777778;-83.00722222;Fluvial;Natural;Baja
PCBflu029;Catarata La Chobá;No Aplica;Puntarenas;Coto Brus;Pittier;750;"8°54'00"" N - 82°59'00"" W";8.9;-82.98333333;Fluvial;Natural;Baja
PCBflu030;Catarata El Pedregal;No Aplica;Puntarenas;Coto Brus;Gutiérrez Braun;750;"8°53'17"" N - 82°58'58"" W";8.888055556;-82.98277778;Fluvial;Natural;Baja
PSRtec001;Península de Santa Elena;Parque Nacional Santa Rosa;Guanacaste;La Cruz;Santa Elena;;"10°52'13,25"" N - 85°43'41,45 W";10.87034726;-85.72818046;Tectónico;Natural;Alta
CHIvol015;Cerro Páramo;Parque Nacional Chirripó;San José;Pérez Zeledón;Rivas;3699;9°27'48,81 N - 83°30'37,1 W;9.463556;-83.510306;Volcánico;Natural;Alta
