ID;Codigo;Nombre;AreaProtegida;Provincia;Canton;Distrito;Altitud;ProcesoGeomorfólogicoPrincipal;Caracteristica;Clasificacion;ValoresCientificos;ValoresAnadidos;Latitud;Longitud
52;PCBvol020;Cerro Pittier;Parque Internacional La Amistad;Puntarenas;Coto Brus;Pittier;2844;Volcánico;Natural;Alta;0.82;0.9;8.855444444;-83.08108333
53;PCBvol021;Cerro Gémelo;Parque Internacional La Amistad;Puntarenas;Coto Brus;Pittier;2702;Volcánico;Natural;Alta;0.79;0.8;9.060833333;-82.94111111
54;PCBflu022;Catarata Cerro Pittier;Parque Internacional La Amistad;Puntarenas;Coto Brus;Pittier;1680;Fluvial;Natural;Alta;0.78;0.75;9.045555556;-82.93527778
55;PCBflu023;Catarata La Perla;Parque Internacional La Amistad;Puntarenas;Coto Brus;Pittier;1300;Fluvial;Natural;Media;0.61;0.5;9.026944444;-82.95388889
56;PCBflu024;Catarata La Esmeralda;No Aplica;Puntarenas;Coto Brus;Pittier;620;Fluvial;Natural;Media;0.43;0.4;9.024444444;-82.97555556
57;PCBflu025;Catarata Kamakiri;No Aplica;Puntarenas;Coto Brus;Pittier;820;Fluvial;Natural;Media;0.44;0.45;8.965;-83.0025
58;PCBflu026;Aguas Termales de Aguas Calientes;No Aplica;Puntarenas;Coto Brus;Pittier;940;Fluvial;Natural;Baja;0.19;0.1;8.884166667;-82.99583333
59;PCBflu027;Catarata Farallón Santa Fe;No Aplica;Puntarenas;Coto Brus;Pittier;750;Fluvial;Natural;Baja;0.18;0.1;8.946944444;-82.92055556
60;PCBflu028;Catarata Farallón Santa Fe #2;No Aplica;Puntarenas;Coto Brus;Pittier;730;Fluvial;Natural;Baja;0.12;0.1;8.935555556;-83.0075
61;PCBflu029;Catarata La Chobá;No Aplica;Puntarenas;Coto Brus;Pittier;750;Fluvial;Natural;Baja;0.11;0.1;8.942777778;-83.00722222
62;PCBflu030;Catarata El Pedregal;No Aplica;Puntarenas;Coto Brus;Gutiérrez Braun;750;Fluvial;Natural;Baja;0.16;0.15;8.9;-82.98333333
63;PSRtec001;Península de Santa Elena;Parque Nacional Santa Rosa;Guanacaste;La Cruz;Santa Elena;;Tectónico;Natural;Alta;0.85;0.9;8.888055556;-82.98277778
64;CHIvol015;Cerro Páramo;Parque Nacional Chirripó;San José;Pérez Zeledón;Rivas;3699;Volcánico;Natural;Alta;0.84;0.82;10.87034726;-85.72818046
;;;;;;;;;;;;;9.463556;-83.510306
